"","species","numberOfOccurrences"
"1","Achillea millefolium",1089788
"2","Centaurea diffusa",4979
"3","Centaurea jacea",412242
"4","Galium mollugo",281175
"5","Galium verum",513767
"6","Medicago lupulina",462588
"7","Ononis spinosa",248984
"8","Papaver dubium",108641
"9","Plantago lanceolata",1213637
"10","Rumex acetosa",885760
"11","Salix reticulata",28441
"12","Senecio vulgaris",442388
"13","Solanum nigrum",230575
"14","Solidago canadensis",156337
"15","Sonchus asper",409158
"16","Trifolium pratense",982158
"17","Veronica chamaedrys",611657
