species,species_same_genus,density_acre,density_unit,density_sqMeter
Alopecurus pratensis,Alopecurus carolinianus,43000,1/acre,10.63
Alopecurus pratensis,Alopecurus geniculatus,43000,1/acre,10.63
Alopecurus pratensis,Alopecurus myosuroides,43000,1/acre,10.63
Eriophorum vaginatum,Eriophorum angustifolium,11000,1/acre,2.72
Eriophorum vaginatum,Eriophorum gracile,11000,1/acre,2.72
Eriophorum vaginatum,Eriophorum virginicum,4800,1/acre,1.19
Fagus sylvatica,Fagus grandifolia,800,1/acre,0.2
Papaver dubium,Papaver gorodkovii,20000,1/acre,4.94
Plantago lanceolata,Plantago major,18000,1/acre,4.45
Poa pratensis & trivialis,Poa arctica,20000,1/acre,4.94
Poa pratensis & trivialis,Poa autumnalis,19000,1/acre,4.69
Poa pratensis & trivialis,Poa eminens,20000,1/acre,4.94
Poa pratensis & trivialis,Poa glauca,20000,1/acre,4.94
Ranunculus acris & bolbosus,Ranunculus abortivus,43560,1/acre,10.76
Ranunculus acris & bolbosus,Ranunculus flammula,4800,1/acre,1.19
Ranunculus acris & bolbosus,Ranunculus hispidus,43560,1/acre,10.76
Ranunculus acris & bolbosus,Ranunculus hyperboreus,20000,1/acre,4.94
Ranunculus acris & bolbosus,Ranunculus macounii,20000,1/acre,4.94
Ranunculus acris & bolbosus,Ranunculus pensylvanicus,10912,1/acre,2.7
Rumex acetosa,Rumex arcticus,20000,1/acre,4.94
Rumex acetosa,Rumex maritimus,4800,1/acre,1.19
Solanum nigrum,Solanum lycopersicum,2700,1/acre,0.67
Solanum nigrum,Solanum melongena,2700,1/acre,0.67
Veronica chamaedrys,Veronica americana,11000,1/acre,2.72
Veronica chamaedrys,Veronica wormskjoldii,11000,1/acre,2.72
Viola arvensis,Viola macloskeyi,11000,1/acre,2.72
Viola arvensis,Viola pubescens,11000,1/acre,2.72
Viola arvensis,Viola sororia,43000,1/acre,10.63
