"","species","seed_number_mean","germination_perc_mean","density_sqMeter_mean","wetmass_g_mean","mortality_mean","mean_dist_m_mean","max_dist_m_mean","lambdaVals_mean","seed_number_std","germination_perc_std","density_sqMeter_std","wetmass_g_std","mortality_std","mean_dist_m_std","max_dist_m_std","lambdaVals_std"
"1","Achillea millefolium",2473.01666666667,100,4.69499809729024,2.498544,0.843918621145834,1,5,137.508608916734,1842.01805867357,0,0,1.83075690703273,0.115405223557471,0,0,134.851125737057
"2","Eriophorum vaginatum",503.6,84,2.20747278960313,90.35,0.327088136947777,10,500,0.864445936215671,0,9.33197268993616,0.73246095766824,20.9429224321726,0.019273632778113,0,0,0.190679703265613
"3","Fagus sylvatica",48600,80,0.197684130412221,24.65,0.449003398912144,400,1500,0.995454443736791,29716.4005434964,0,0,1.35058631924588,0.00615605712288031,0,0,0.0119096529647229
"4","Plantago lanceolata",2714.16666666667,100,4.44789293427497,3.8759472972973,0.771737186227511,0.1,1,0.872810175007368,3274.45007577487,0,0,3.23592458671328,0.127354204978681,0,0,0.327582689600807
"5","Poa pratensis",208,98.6666666666667,4.8803269695517,1.51463333333333,0.911847544027072,1,5,1.01135168848418,0,1.88570902425671,0.10700483475438,0.416853044174956,0.0611553132106213,0,0,0.10481171796901
"6","Poa trivialis",299.5,100,4.8803269695517,2.65515,0.837437042321875,1,5,1.01135168848418,0,0,0.10700377224454,2.43502976749909,0.111941622226853,0,0,0.104810677235832
"7","Ranunculus acris",325.246666666667,95,5.88242077396632,2.32630740740741,0.829218401787344,1,5,0.93388626047627,368.915092116744,0,3.68854734777717,0.932802997277153,0.0793278524570966,0,0,0.449478089431312
"8","Ranunculus bulbosus",70.6181818181818,78.3333333333333,5.88242077396632,1.97046363636364,0.862961708200301,0.1,1,0.959412819128561,33.6116914119639,16.4991764377429,3.68854780470983,0.760090122266907,0.0802757334712473,0,0,0.506785626120439
"9","Rumex acetosa",537.133333333333,96.6666666666667,3.06410402138942,2.26226166666667,0.844896034701326,1,5,0.902887801990806,710.968836075167,4.71406541571004,1.87800728937612,1.30378938341851,0.0914010591859523,0,0,0.216633262155474
"10","Veronica chamaedrys",59.8,95.2,2.71815679316804,2.67927719298246,0.816428840550593,0.1,1,1.11794596025176,110.89503358684,5.70613967595451,0,1.54383269284846,0.104231403692355,0,0,0.469363874823586
"11","Viola arvensis",2076.42857142857,82.25,5.35394519866431,10.9,0.554291865868263,2,15,0.93230486612075,902.819258798083,17.7538982028981,3.7276469556364,2.30004889611702,0.0296583940818906,0,0,0.158161327928702
